iter	RMSE
0	0.4768105885
1	0.4746848347
2	0.4727188937
3	0.4705171045
4	0.4686535925
5	0.4670972211
6	0.4650098799
7	0.4635832478
8	0.4620427586
9	0.4601417552
10	0.4587022856
11	0.457279895
12	0.4556821072
13	0.45420183
14	0.45315215
15	0.4521124573
16	0.4505393543
17	0.4489518657
18	0.4474982804
19	0.4464706262
20	0.4451943939
21	0.4439724728
22	0.4430946818
23	0.441984038
24	0.4408101321
25	0.4391926938
26	0.4376309553
27	0.436609542
28	0.4362585607
29	0.4350250373
30	0.433882373
31	0.4328265122
32	0.4319287393
33	0.4313323631
34	0.4306207649
35	0.429532912
36	0.4288149827
37	0.4280573587
38	0.4271049587
39	0.4264106534
40	0.4254575976
41	0.4248746282
42	0.4244969747
43	0.4240045288
44	0.4233839369
45	0.4228700016
46	0.4224135469
47	0.4216802976
48	0.4208444826
49	0.4202224952
50	0.4198721003
51	0.4192433288
52	0.4187925935
53	0.4182157973
54	0.4174045283
55	0.4168966077
56	0.4163145463
57	0.4159378484
58	0.4157892047
59	0.4157212243
60	0.415219476
61	0.4149301768
62	0.4144969404
63	0.4140739175
64	0.4138658936
65	0.4134876526
66	0.4131154545
67	0.4126541473
68	0.4121270566
69	0.4120819353
70	0.4112469273
71	0.410936801
72	0.4104893487
73	0.409491767
74	0.409133317
75	0.4083410487
76	0.407598429
77	0.4073842982
78	0.4072612566
79	0.4068697513
80	0.4062672026
81	0.4060740946
82	0.4059448699
83	0.4056756086
84	0.4053865051
85	0.4048494678
86	0.4046509112
87	0.4042828453
88	0.4040005846
89	0.403861534
90	0.4037104701
91	0.4032093035
92	0.4031594394
93	0.4026648604
94	0.4023319526
95	0.401890005
96	0.4014652549
97	0.4013250269
98	0.4004662648
99	0.4002197777
100	0.3999349902
101	0.3996917127
102	0.3995119916
103	0.3993505481
104	0.3989229651
105	0.3985266701
106	0.3982531116
107	0.3980291987
108	0.3976005335
109	0.39737433
110	0.3969473937
111	0.3965599538
112	0.3960586998
113	0.3957558869
114	0.395454766
115	0.3950895039
116	0.3949441207
117	0.3947900625
118	0.39424595
119	0.3936670145
120	0.3935790725
121	0.3934567611
122	0.3934175724
123	0.3931591946
124	0.3928671408
125	0.3926256549
126	0.3925414691
127	0.3923505044
128	0.3920715273
129	0.391936427
130	0.3917433308
131	0.391473581
132	0.391355768
133	0.3912386444
134	0.3910260042
135	0.3907509349
136	0.3904385227
137	0.3901264149
138	0.3898654782
139	0.3895040506
140	0.3890315963
141	0.3883624331
142	0.3879332557
143	0.3875482065
144	0.3872897355
145	0.3870283687
146	0.3867989359
147	0.3861713926
148	0.3857287944
149	0.3856741443
150	0.3852657359
151	0.3850275081
152	0.3845673195
153	0.3844775992
154	0.3840318516
155	0.3835750945
156	0.3834395424
157	0.3831332405
158	0.3829399241
159	0.3824093901
160	0.3821083131
161	0.381240112
162	0.3810999651
163	0.3808878637
164	0.3807742468
165	0.3806460619
166	0.3803913812
167	0.3802757622
168	0.3801330902
169	0.3797930417
170	0.3795009455
171	0.3789684589
172	0.3788619729
173	0.3785662354
174	0.3784561019
175	0.3782605109
176	0.3782499403
177	0.3780883318
178	0.3778274919
179	0.3776846893
180	0.3774405676
181	0.3772074409
182	0.3769746298
183	0.3767444263
184	0.3765781669
185	0.3764519206
186	0.3763706625
187	0.3761312541
188	0.3760211822
189	0.3756673547
190	0.3756627202
191	0.375522177
192	0.3754120743
193	0.3751621837
194	0.3751579656
195	0.3750129185
196	0.3747896482
197	0.3744805725
198	0.3741599845
199	0.3741552228
200	0.3736125239
201	0.3734684766
202	0.3732027961
203	0.3729826387
204	0.3728539942
205	0.3728452416
206	0.3723003077
207	0.3719553223
208	0.3718065765
209	0.37169337
210	0.3716735175
211	0.3713790137
212	0.3712287958
213	0.3712194337
214	0.3709590152
215	0.3706764604
216	0.3705130395
217	0.3702917064
218	0.3700844322
219	0.3698049079
220	0.3696873177
221	0.3693728038
222	0.3691777372
223	0.3691443578
224	0.3689678802
225	0.3689588289
226	0.36887447
227	0.3688578105
228	0.3685770845
229	0.3684443127
230	0.3682515617
231	0.3680098619
232	0.3679966942
233	0.3678770767
234	0.3675764404
235	0.3674244288
236	0.3673770552
237	0.3673691406
238	0.3673252625
239	0.3671214712
240	0.3671180259
241	0.3670838032
242	0.3668421197
243	0.366628111
244	0.3664531164
245	0.366175263
246	0.3661659969
247	0.3658779696
248	0.3656895253
249	0.3654795777
250	0.3651000145
251	0.3650894873
252	0.3650366606
253	0.3649173304
254	0.3646043008
255	0.3645779894
256	0.3640340186
257	0.3636897591
258	0.3635127517
259	0.3634353266
260	0.363079719
261	0.3629653476
262	0.3629298705
263	0.3627202941
264	0.3625462114
265	0.362416468
266	0.3621491589
267	0.362143184
